query_id,query,ndcg_baseline,ndcg_variant,delta_ndcg
81029,plastic cup drink sleeve with handle,0.6106567363088916,0.9956036097489137,0.3849468734400221
56863,kaizen home goods,0.6119927751397011,0.9937829535709147,0.38179017843121366
20874,butterfly house for outside,0.6324809986963053,0.9955160307021982,0.36303503200589293
5673,I want a replacement chrome book with a touch screen. So really it would be an upgrade. I want a large screen and a good memory ,0.687550167778977,1.0,0.31244983222102296
60085,large iscar statie,0.6617043080054227,0.9365955466390234,0.27489123863360077
62567,limited addition post it notes,0.6603654562680882,0.9333832157611344,0.2730177594930462
25513,chikko not coffee,0.42929281169451816,0.6950856232759884,0.2657928115814703
32479,dermaplane glo,0.7291471808020871,0.9745788765266591,0.24543169572457202
45874,glass jar with whire,0.5464709555274118,0.7892214385082373,0.24275048298082558
74400,noschelectric ranges for kitchen,0.7525874701019595,0.9948352802380562,0.24224781013609675
50435,hidden shoes,0.5482994308522574,0.7875234868574231,0.23922405600516572
74765,nursing medication cards pocket,0.5401396054259062,0.778842958530688,0.23870335310478175
21990,camiseta para el agua con capucha,0.6630684131870259,0.8916432941723532,0.2285748809853273
15853,bill nye glitter glue,0.7726676403636127,1.0,0.22733235963638732
52353,i am looking for an olive green fur coat that has a cheetah print on it. it is a long jacket with buttons. ,0.7173981042487704,0.9427191093281777,0.22532100507940733
24652,chalk kitchen,0.565205891312799,0.7901722757068398,0.22496638439404082
37877,epson 702xl black ink cartridges,0.7717268613198628,0.9952349992290763,0.22350813790921353
78045,patagonia fanny pack women,0.7764918620907865,1.0,0.22350813790921353
71204,mpow dongle,0.6770500621029317,0.8999410525630291,0.22289099046009742
22074,camo leggings for women lululemon,0.7767862795751739,0.9985735164570697,0.22178723688189583
6433,acrylic toilet seat elongated,0.7801117080057756,1.0,0.21988829199422444
78281,pbt98 pyle,0.5503334549311554,0.7696824896736698,0.21934903474251444
62352,light up presents for under tree,0.7322910139201898,0.9298978568474114,0.19760684292722164
17775,boat bumper,0.7460349404362533,0.9427303104045749,0.1966953699683216
4860,6 gallon water dispenser,0.6405511057248132,0.8297698106558761,0.18921870493106285
59030,korea hats for women,0.6227021157925445,0.8069262892779386,0.1842241734853941
5339,80s disney shirt,0.661756254814733,0.8397318442617017,0.17797558944696867
101201,teen boy watch,0.7134856221298591,0.883251347165383,0.1697657250355239
44473,garmin 530,0.6765864054119171,0.8439401644702907,0.16735375905837369
56758,jvc lt-22mar400,0.561013358410311,0.7275429100018618,0.1665295515915508
64865,magnet balls 5mm,0.6829461598258656,0.8481667018140332,0.1652205419881676
111011,white chalk board signs,0.7229979785634748,0.887673890052205,0.16467591148873018
40019,ferrari office rug,0.7458438672220419,0.9084051791894426,0.16256131196740076
29259,corsair white keyboard,0.7806780259934006,0.9422031674328041,0.16152514143940344
88180,rog flow x13 gv301,0.7344963686010965,0.8943103444689584,0.15981397586786195
108088,vegetable seeds for fall planting,0.7113214852468394,0.8711354611147013,0.15981397586786195
50902,holly golightly earrings,0.6834999548478778,0.8414032642975576,0.15790330944967979
15596,big boys size 6 ascics sneakers,0.6695990377983635,0.82452093366982,0.15492189587145655
24535,chad wild clay merch spy kit,0.6491811937818407,0.8001882941374501,0.15100710035560938
40428,fire 8 case,0.6825205778626068,0.8332514041105412,0.15073082624793444
100437,take out containers paper clear lid,0.6260162768357974,0.77546699456825,0.14945071773245255
101658,tetra 20 gallon tank,0.6948825051310759,0.8442344611706507,0.14935195603957485
75759,onses for men,0.2890648263178879,0.43067655807339306,0.14161173175550518
92897,shotgun rear pistol grip,0.7384661894846092,0.8782378036408957,0.13977161415628647
88025,robux,0.7029162877124862,0.8403544541696316,0.13743816645714546
32562,designer id badge horizontal holder with lanyard,0.6747938683688546,0.8111010492573028,0.13630718088844818
89390,ryka women's devotion plus 2 walking shoe,0.6624566089961511,0.7980866144414742,0.1356300054453231
61150,leg length jackets for women,0.5,0.6309297535714575,0.13092975357145753
105195,trendy ocean iphone cases iphone 6s plus,0.6090181904449679,0.7389787260978847,0.12996053565291688
54062,iphone 11 pro gucci case,0.651975979843195,0.7814102233034169,0.12943424346022192
39170,face mask moisturizing remove freckles,0.7469417868106862,0.8747098807656456,0.12776809395495936
63216,locker shelf tall,0.7890530847885514,0.91665557723954,0.12760249245098865
7886,alexa dot cover,0.7511960314729976,0.878270259785859,0.12707422831286141
87346,return a gift,0.8117049518491137,0.9387308060409691,0.12702585419185541
114815,yellow and black dresses for women,0.7750721764713597,0.8992203671843936,0.12414819071303385
1291,10 pounds ceiling hook without drilling,0.6768203017881661,0.8000187440977514,0.12319844230958532
